Cuisine,TimeOfDay,Weather,HungerLevel,OrderFood
Italian,Dinner,Cloudy,Low,Yes
Italian,Breakfast,Sunny,Medium,No
Italian,Breakfast,Sunny,Low,No
Indian,Dinner,Rainy,High,Yes
Chinese,LateNight,Rainy,Low,No
Italian,Breakfast,Cloudy,Medium,Yes
Mexican,LateNight,Rainy,Medium,No
Chinese,Breakfast,Rainy,Low,No
Indian,Dinner,Sunny,Medium,No
Mexican,LateNight,Rainy,Medium,Yes
Mexican,Breakfast,Rainy,Medium,Yes
Chinese,Dinner,Rainy,Medium,Yes
Italian,Lunch,Rainy,High,Yes
Chinese,Lunch,Cloudy,Low,No
Mexican,Dinner,Cloudy,High,Yes
Mexican,Lunch,Cloudy,Medium,No
Mexican,Dinner,Cloudy,Medium,Yes
Italian,Breakfast,Rainy,Medium,Yes
Mexican,LateNight,Sunny,Medium,No
Mexican,Dinner,Rainy,Medium,No
Italian,LateNight,Cloudy,High,Yes
Indian,Lunch,Sunny,High,No
Indian,Breakfast,Cloudy,Medium,No
Mexican,Dinner,Rainy,Low,Yes
Mexican,Breakfast,Sunny,Medium,No
Chinese,Lunch,Rainy,Medium,No
Italian,Lunch,Cloudy,Low,No
Mexican,Lunch,Cloudy,Medium,No
Italian,LateNight,Sunny,High,Yes
Italian,LateNight,Sunny,Medium,Yes
Italian,LateNight,Cloudy,High,Yes
Italian,Breakfast,Sunny,High,Yes
Italian,Dinner,Sunny,High,No
Mexican,Breakfast,Cloudy,High,Yes
Mexican,Breakfast,Rainy,Low,No
Mexican,Dinner,Cloudy,Low,No
Indian,Breakfast,Sunny,Low,No
Chinese,LateNight,Cloudy,Low,No
Indian,Dinner,Sunny,Medium,Yes
Italian,LateNight,Rainy,Low,No
Chinese,Breakfast,Rainy,Medium,No
Italian,Dinner,Sunny,Low,No
Italian,Lunch,Cloudy,High,No
Mexican,LateNight,Cloudy,Medium,Yes
Indian,Breakfast,Sunny,Low,No
Indian,LateNight,Sunny,Medium,Yes
Chinese,Breakfast,Sunny,Medium,No
Mexican,Dinner,Sunny,High,Yes
Indian,Lunch,Rainy,Low,Yes
Italian,Lunch,Cloudy,Low,No
Chinese,LateNight,Rainy,Low,No
Italian,Breakfast,Cloudy,Low,No
Chinese,Lunch,Sunny,High,Yes
Indian,LateNight,Cloudy,Medium,No
Indian,LateNight,Rainy,Medium,Yes
Indian,LateNight,Rainy,High,Yes
Italian,Dinner,Cloudy,Low,No
Chinese,Dinner,Sunny,High,No
Chinese,Breakfast,Sunny,High,Yes
Italian,LateNight,Cloudy,Medium,Yes
Chinese,Breakfast,Sunny,High,Yes
Italian,Breakfast,Cloudy,Low,No
Chinese,LateNight,Cloudy,High,Yes
Italian,Breakfast,Sunny,High,No
Mexican,Breakfast,Rainy,Medium,No
Mexican,Lunch,Cloudy,High,Yes
Italian,Dinner,Sunny,Medium,No
Chinese,Lunch,Rainy,High,Yes
Italian,Breakfast,Rainy,Medium,Yes
Mexican,LateNight,Cloudy,High,Yes
Mexican,Breakfast,Cloudy,High,Yes
Indian,Lunch,Rainy,High,Yes
Mexican,LateNight,Cloudy,High,Yes
Italian,LateNight,Cloudy,High,No
Indian,LateNight,Rainy,High,Yes
Mexican,Breakfast,Sunny,Medium,No
Chinese,Lunch,Cloudy,High,Yes
Italian,Lunch,Sunny,Low,No
Chinese,Breakfast,Cloudy,High,No
Mexican,Lunch,Rainy,High,Yes
Mexican,Lunch,Rainy,High,Yes
Chinese,Lunch,Cloudy,Low,Yes
Chinese,Lunch,Cloudy,Low,No
Chinese,Lunch,Cloudy,Low,No
Mexican,LateNight,Cloudy,Medium,Yes
Mexican,LateNight,Cloudy,Medium,Yes
Italian,Dinner,Cloudy,Low,No
Italian,Lunch,Cloudy,High,No
Italian,LateNight,Rainy,Low,No
Indian,Lunch,Sunny,High,Yes
Chinese,Dinner,Rainy,Low,No
Mexican,Dinner,Sunny,Low,No
Italian,Lunch,Rainy,High,Yes
Italian,Breakfast,Cloudy,High,No
Indian,Breakfast,Cloudy,Medium,No
Indian,LateNight,Cloudy,Low,No
Chinese,Breakfast,Rainy,Medium,Yes
Mexican,Lunch,Cloudy,Medium,Yes
Indian,LateNight,Sunny,Medium,Yes
Indian,Breakfast,Sunny,High,Yes
Mexican,Dinner,Cloudy,Medium,No
Mexican,Breakfast,Rainy,High,No
Indian,Lunch,Rainy,Low,Yes
Indian,Breakfast,Rainy,High,Yes
Mexican,Dinner,Cloudy,Medium,No
Mexican,Breakfast,Sunny,Low,No
Mexican,Dinner,Rainy,High,Yes
Mexican,LateNight,Cloudy,Low,Yes
Mexican,Breakfast,Rainy,High,No
Mexican,Dinner,Cloudy,Low,No
Chinese,Breakfast,Sunny,High,No
Indian,LateNight,Rainy,Medium,Yes
Mexican,LateNight,Rainy,Medium,Yes
Mexican,Breakfast,Cloudy,Medium,No
Indian,Dinner,Sunny,Low,No
Chinese,Lunch,Sunny,High,Yes
Italian,Breakfast,Rainy,Low,Yes
Chinese,LateNight,Cloudy,High,Yes
Mexican,Breakfast,Cloudy,Medium,Yes
Mexican,LateNight,Rainy,High,Yes
Indian,LateNight,Sunny,Medium,No
Indian,Lunch,Rainy,Medium,No
Chinese,LateNight,Rainy,Medium,Yes
Indian,Dinner,Cloudy,High,Yes
Mexican,Lunch,Sunny,Medium,No
Italian,LateNight,Sunny,Medium,Yes
Chinese,LateNight,Rainy,Low,Yes
Indian,Breakfast,Cloudy,Low,No
Indian,Breakfast,Sunny,Medium,Yes
Mexican,Breakfast,Cloudy,Medium,No
Chinese,Lunch,Sunny,Low,No
Italian,Breakfast,Cloudy,High,No
Indian,Lunch,Rainy,High,Yes
Indian,LateNight,Sunny,High,Yes
Italian,Lunch,Sunny,Medium,No
Mexican,LateNight,Sunny,Medium,No
Indian,LateNight,Sunny,High,Yes
Chinese,Lunch,Sunny,Low,No
Italian,Breakfast,Cloudy,Low,No
Italian,LateNight,Cloudy,Medium,No
Mexican,Lunch,Sunny,Low,No
Mexican,Breakfast,Sunny,Low,No
Indian,Dinner,Sunny,High,No
Italian,Breakfast,Cloudy,Medium,Yes
Chinese,Dinner,Cloudy,High,Yes
Indian,Dinner,Rainy,High,Yes
Italian,Lunch,Cloudy,Low,No
Indian,Breakfast,Sunny,Low,No
Italian,Lunch,Cloudy,Medium,No
Italian,Lunch,Sunny,Low,No
Indian,Dinner,Cloudy,High,No
Italian,LateNight,Cloudy,High,Yes
Mexican,LateNight,Sunny,Medium,No
Indian,Breakfast,Rainy,Medium,Yes
Italian,Lunch,Rainy,Low,No
Chinese,Lunch,Cloudy,Low,No
Italian,Breakfast,Sunny,Low,No
Chinese,Lunch,Sunny,Low,Yes
Indian,LateNight,Sunny,Low,No
Indian,LateNight,Sunny,High,Yes
Chinese,Lunch,Rainy,Low,No
Chinese,Breakfast,Sunny,High,No
Indian,Breakfast,Rainy,High,Yes
Chinese,Breakfast,Sunny,Medium,Yes
Chinese,Breakfast,Cloudy,Medium,No
Italian,Breakfast,Sunny,Medium,No
Indian,Breakfast,Rainy,Low,No
Italian,Dinner,Cloudy,Medium,No
Italian,LateNight,Rainy,High,Yes
Indian,Lunch,Sunny,High,Yes
Mexican,LateNight,Cloudy,High,Yes
Indian,Lunch,Rainy,High,Yes
Mexican,Dinner,Sunny,Medium,Yes
Chinese,Breakfast,Rainy,Medium,No
Italian,Breakfast,Rainy,Low,No
Mexican,LateNight,Cloudy,Low,No
Mexican,Breakfast,Rainy,Medium,Yes
Italian,Dinner,Rainy,Medium,Yes
Chinese,LateNight,Sunny,Medium,Yes
Mexican,LateNight,Sunny,High,Yes
Chinese,Dinner,Sunny,High,No
Chinese,LateNight,Rainy,Low,Yes
Chinese,LateNight,Rainy,High,Yes
Mexican,Breakfast,Rainy,High,Yes
Indian,Breakfast,Rainy,High,Yes
Mexican,Breakfast,Rainy,Medium,Yes
Mexican,Dinner,Sunny,Medium,No
Mexican,Lunch,Sunny,Low,No
Italian,LateNight,Cloudy,Medium,No
Italian,LateNight,Sunny,Medium,Yes
Indian,Lunch,Rainy,Low,No
Italian,Lunch,Cloudy,Low,No
Chinese,LateNight,Sunny,Low,No
Mexican,Breakfast,Cloudy,Low,No
Chinese,LateNight,Sunny,Low,No
Indian,Lunch,Rainy,High,No
Italian,LateNight,Rainy,High,Yes
Mexican,Lunch,Rainy,Medium,No
Mexican,Breakfast,Rainy,Medium,No
Italian,LateNight,Sunny,High,Yes
Mexican,Dinner,Rainy,Low,No
Indian,Dinner,Cloudy,Low,No
Italian,Lunch,Sunny,Low,No
Chinese,Dinner,Rainy,High,Yes
Mexican,LateNight,Cloudy,Medium,No
Italian,Dinner,Cloudy,Medium,No
Chinese,Dinner,Rainy,Medium,No
Chinese,Breakfast,Rainy,Low,No
Chinese,LateNight,Sunny,High,Yes
Chinese,Dinner,Sunny,Medium,Yes
Italian,Lunch,Sunny,Low,No
Mexican,LateNight,Cloudy,High,No
Chinese,Breakfast,Rainy,Medium,Yes
Italian,LateNight,Sunny,Medium,Yes
Italian,Dinner,Sunny,High,Yes
Indian,Dinner,Sunny,Low,No
Indian,Lunch,Rainy,Medium,Yes
Italian,LateNight,Cloudy,High,Yes
Italian,LateNight,Rainy,Low,Yes
Italian,Lunch,Cloudy,Medium,Yes
Chinese,LateNight,Rainy,Medium,Yes
Mexican,Breakfast,Sunny,High,Yes
Italian,Lunch,Sunny,High,No
Mexican,Lunch,Sunny,Low,No
Italian,Breakfast,Cloudy,Medium,No
Mexican,LateNight,Cloudy,Low,No
Mexican,Breakfast,Rainy,Low,No
Chinese,LateNight,Cloudy,High,Yes
Chinese,LateNight,Sunny,Low,Yes
Italian,Dinner,Rainy,Medium,Yes
Indian,LateNight,Sunny,Medium,Yes
Mexican,Lunch,Sunny,High,Yes
Indian,LateNight,Rainy,Medium,Yes
Italian,Dinner,Sunny,Low,No
Italian,Breakfast,Cloudy,Medium,Yes
Indian,Breakfast,Sunny,Low,No
Italian,Lunch,Cloudy,High,Yes
Italian,LateNight,Cloudy,Medium,Yes
Mexican,Dinner,Rainy,Low,No
Mexican,Lunch,Sunny,Medium,No
Italian,Lunch,Rainy,Medium,Yes
Chinese,Dinner,Rainy,High,Yes
Italian,Dinner,Sunny,Low,No
Italian,Lunch,Cloudy,Medium,Yes
Italian,Dinner,Rainy,Medium,Yes
Mexican,Lunch,Cloudy,Low,No
Indian,Dinner,Rainy,Low,No
Chinese,Dinner,Sunny,High,Yes
Mexican,LateNight,Cloudy,Low,No
Chinese,Lunch,Rainy,Medium,Yes
Mexican,Lunch,Rainy,Medium,Yes
Chinese,Lunch,Rainy,Medium,Yes
Chinese,Dinner,Cloudy,Medium,Yes
Italian,Breakfast,Rainy,Medium,Yes
Indian,Lunch,Rainy,Medium,No
Chinese,Lunch,Sunny,Medium,No
Mexican,LateNight,Cloudy,Medium,No
Italian,Breakfast,Sunny,Medium,No
Italian,Lunch,Rainy,High,No
Indian,Lunch,Rainy,High,Yes
Italian,Breakfast,Cloudy,High,Yes
Italian,Dinner,Sunny,High,Yes
Indian,Lunch,Rainy,Medium,Yes
Italian,Breakfast,Cloudy,Low,No
Chinese,Lunch,Sunny,Low,No
Chinese,Breakfast,Sunny,Medium,No
Mexican,Lunch,Cloudy,Medium,No
Mexican,Breakfast,Sunny,High,Yes
Italian,Dinner,Sunny,Medium,No
Italian,LateNight,Sunny,Low,No
Indian,Breakfast,Rainy,Low,Yes
Italian,Lunch,Sunny,High,Yes
Italian,Dinner,Sunny,High,Yes
Chinese,LateNight,Cloudy,Low,No
Mexican,Breakfast,Cloudy,Low,No
Chinese,Lunch,Rainy,Medium,Yes
Chinese,Dinner,Cloudy,Low,No
Italian,Lunch,Cloudy,High,Yes
Mexican,Lunch,Rainy,High,Yes
Indian,Dinner,Rainy,Low,No
Italian,Breakfast,Cloudy,Low,No
Mexican,Breakfast,Cloudy,High,No
Italian,LateNight,Sunny,Medium,Yes
Indian,Lunch,Rainy,Medium,No
Indian,Breakfast,Sunny,High,No
Italian,Dinner,Rainy,Medium,Yes
Chinese,Lunch,Rainy,High,Yes
Chinese,Dinner,Sunny,Low,Yes
Mexican,Breakfast,Cloudy,Low,No
Chinese,Lunch,Cloudy,High,No
Chinese,Dinner,Sunny,Low,No
Italian,Lunch,Rainy,Low,No
Indian,LateNight,Sunny,Low,No
Mexican,LateNight,Cloudy,High,No
Chinese,LateNight,Rainy,Medium,Yes
Italian,Breakfast,Sunny,Low,No
Indian,Lunch,Sunny,Low,No
Italian,LateNight,Rainy,High,Yes
Indian,LateNight,Sunny,High,No
Italian,Lunch,Rainy,Low,No
Italian,Lunch,Sunny,High,Yes
Mexican,Breakfast,Sunny,High,Yes
Mexican,Lunch,Rainy,Medium,No
Italian,Breakfast,Rainy,Medium,Yes
Chinese,LateNight,Cloudy,Medium,No
Italian,Breakfast,Cloudy,High,Yes
Indian,Lunch,Cloudy,Low,No
Mexican,Lunch,Sunny,Medium,No
Mexican,LateNight,Sunny,Medium,No
Indian,Dinner,Cloudy,Low,No
Mexican,Lunch,Rainy,High,Yes
Chinese,Breakfast,Rainy,Low,Yes
Italian,Breakfast,Cloudy,High,No
Italian,Breakfast,Rainy,Low,Yes
Mexican,Breakfast,Rainy,High,Yes
Mexican,Dinner,Cloudy,High,Yes
Italian,Dinner,Rainy,High,Yes
Indian,Breakfast,Cloudy,High,Yes
Indian,Breakfast,Sunny,Medium,No
Chinese,Lunch,Cloudy,High,Yes
Chinese,LateNight,Rainy,Low,Yes
Indian,Dinner,Rainy,Medium,Yes
Mexican,Dinner,Cloudy,Medium,Yes
Chinese,LateNight,Rainy,Medium,Yes
Mexican,Breakfast,Rainy,Medium,No
Indian,Dinner,Cloudy,Low,No
Italian,LateNight,Sunny,Low,No
Chinese,LateNight,Cloudy,Medium,Yes
Italian,LateNight,Sunny,Low,No
Indian,Dinner,Rainy,Medium,No
Italian,LateNight,Rainy,Medium,Yes
Mexican,Dinner,Cloudy,Medium,No
Indian,Dinner,Rainy,Medium,No
Italian,LateNight,Rainy,High,Yes
Indian,LateNight,Rainy,Medium,Yes
Indian,Lunch,Rainy,Low,Yes
Italian,LateNight,Sunny,Low,No
Mexican,Lunch,Sunny,High,Yes
Mexican,Lunch,Sunny,Medium,Yes
Chinese,Lunch,Sunny,High,Yes
Chinese,Lunch,Sunny,Medium,No
Mexican,Lunch,Rainy,Low,No
Chinese,Lunch,Rainy,High,Yes
Indian,LateNight,Rainy,Medium,Yes
Italian,Breakfast,Sunny,Low,Yes
Italian,Lunch,Sunny,Medium,No
Italian,Lunch,Sunny,Medium,Yes
Indian,Breakfast,Cloudy,Low,No
Indian,LateNight,Sunny,High,Yes
Italian,Breakfast,Rainy,Medium,No
Italian,Lunch,Cloudy,Low,No
Italian,Breakfast,Cloudy,Low,No
Italian,Breakfast,Cloudy,Low,No
Indian,Dinner,Sunny,High,Yes
Mexican,Dinner,Sunny,High,Yes
Indian,LateNight,Rainy,Low,No
Mexican,Dinner,Sunny,Medium,No
Italian,Dinner,Sunny,Medium,No
Indian,Breakfast,Cloudy,Medium,No
Indian,Lunch,Rainy,Low,No
Italian,Dinner,Rainy,Medium,No
Italian,LateNight,Rainy,Low,No
Indian,Dinner,Rainy,Low,Yes
Mexican,LateNight,Sunny,Low,No
Indian,Lunch,Sunny,High,Yes
Mexican,Lunch,Sunny,Medium,Yes
Indian,Dinner,Sunny,Low,No
Indian,LateNight,Sunny,Medium,No
Italian,LateNight,Rainy,Low,No
Indian,LateNight,Rainy,Low,No
Mexican,Lunch,Rainy,Low,Yes
Chinese,Breakfast,Sunny,Medium,Yes
Indian,Dinner,Rainy,Low,Yes
Italian,Dinner,Rainy,Medium,Yes
Indian,Breakfast,Sunny,High,Yes
Italian,Breakfast,Sunny,Low,No
Italian,LateNight,Sunny,High,Yes
Indian,LateNight,Rainy,Medium,Yes
Indian,LateNight,Cloudy,Low,No
Indian,LateNight,Sunny,Medium,Yes
Chinese,Dinner,Sunny,Medium,Yes
Indian,Lunch,Sunny,Low,No
Italian,Dinner,Cloudy,Medium,No
Mexican,LateNight,Cloudy,Medium,Yes
Mexican,Breakfast,Rainy,Medium,No
Italian,Lunch,Cloudy,High,Yes
Chinese,Dinner,Rainy,High,Yes
Italian,Lunch,Sunny,Medium,Yes
Chinese,Breakfast,Sunny,Low,No
Chinese,LateNight,Cloudy,Medium,Yes
Indian,Dinner,Sunny,Low,No
Mexican,LateNight,Cloudy,Low,No
Indian,Breakfast,Rainy,Medium,No
Mexican,Breakfast,Rainy,Medium,No
Chinese,Breakfast,Rainy,High,Yes
Chinese,Breakfast,Rainy,Medium,Yes
Italian,Dinner,Cloudy,Low,No
Mexican,Lunch,Sunny,High,No
Chinese,LateNight,Rainy,Medium,Yes
Chinese,Dinner,Cloudy,High,Yes
Indian,Lunch,Rainy,Low,Yes
Chinese,Lunch,Sunny,High,Yes
Mexican,Dinner,Rainy,Medium,No
Indian,Dinner,Rainy,Low,Yes
Italian,LateNight,Rainy,High,Yes
Chinese,Breakfast,Cloudy,High,No
Mexican,Breakfast,Cloudy,Medium,No
Indian,Breakfast,Cloudy,Low,No
Chinese,LateNight,Sunny,High,No
Chinese,Dinner,Cloudy,Medium,No
Indian,Lunch,Cloudy,Medium,No
Indian,Lunch,Cloudy,Medium,No
Indian,Lunch,Sunny,Low,No
Chinese,LateNight,Sunny,High,Yes
Chinese,LateNight,Cloudy,Medium,Yes
Indian,Dinner,Cloudy,High,Yes
Italian,Breakfast,Sunny,Low,No
Italian,LateNight,Cloudy,High,Yes
